NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
2,16,16,8,0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,224,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,1,7,16
13,16,24,15,1,0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0,224,0010000000000100,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,64,1,7,16
13,32,17,8,0,0:0:1:0:0:0:0:0:0:0:0:0:0:2:0:0,349,0010000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,1,7,16
8,32,25,15,1,0:0:1:0:0:0:0:0:1:0:0:0:0:2:0:0,349,0010000100000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,64,1,7,16
10,16,17,8,0,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,474,0000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,1,7,16
8,32,25,15,1,0:0:1:0:0:0:0:0:2:0:1:0:0:2:0:0,474,0000010100000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,64,1,7,16
11,16,18,8,0,0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0,599,0000100000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,1,7,16
7,16,26,15,1,0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0,599,0000100010000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,64,1,7,16
1,16,18,8,0,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0,724,0000000000000010,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,1,7,16
9,16,26,15,1,0:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0,724,0000001000000010,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,64,1,7,16
9,32,18,8,0,0:1:0:0:0:0:0:0:0:2:0:0:0:0:0:0,849,0000001000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,1,7,16
9,32,19,8,1,0:1:0:0:0:0:0:0:0:3:0:0:0:0:0:0,849,0000001000000000,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,64,1,7,16
2,32,18,8,0,0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0,974,0000000000000100,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,1,7,16
6,32,26,15,1,0:0:2:0:0:0:1:0:0:0:0:0:0:0:0:0,974,0000000001000100,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,64,1,7,16
9,48,19,8,0,0:1:0:0:0:0:0:0:0:4:0:0:0:0:0:0,1099,0000001000000000,0000000000000000000000000000000000000000000000000000000000000000,0,100,800,64,1,7,16
2,48,27,15,1,0:1:3:0:0:0:0:0:0:4:0:0:0:0:0:0,1099,0000001000000100,0000000000000000000000000000000000000000000000000000000000000000,1,100,800,64,1,7,16
