NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
6,32,17,9,0,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,231,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,200,4,16,8,32
27,32,26,17,1,0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0,231,00001000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,200,4,16,8,32
5,32,18,9,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,262,00000000000000000000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,200,200,4,16,8,32
26,32,27,17,1,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0,262,00000100000000000000000000100000,0000000000000000000000000000000000000000000000000000000000000000,1,200,200,4,16,8,32
3,32,18,9,0,0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,293,00000000000000000000000000001000,0000000000000000000000000000000000000000000000000000000000000000,0,200,200,4,16,8,32
9,32,27,17,1,0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,293,00000000000000000000001000001000,0000000000000000000000000000000000000000000000000000000000000000,1,200,200,4,16,8,32
6,64,18,9,0,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,324,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,200,4,16,8,32
29,64,27,17,1,0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0,324,00100000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,1,200,200,4,16,8,32
5,64,18,9,0,0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,356,00000000000000000000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,200,200,4,16,8,32
5,64,19,9,1,0:0:0:0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,356,00000000000000000000000000100000,0000000000000000000000000000000000000000000000000000000000000000,1,200,200,4,16,8,32
6,64,18,9,0,0:0:0:0:0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,387,00000000000000000000000001000000,0000000000000000000000000000000000000000000000000000000000000000,0,200,200,4,16,8,32
